                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   99518682 |          0 |          0 |          0 |          0 |  549376423 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  547243755 |          0 |          0 |          0 |          0 |   24953778 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600 |  380881600
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.26 |       0.00 |       0.00 |       0.00 |       0.00 |       1.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400
  Idle time (ns)                     |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   82694447 |   95220400 |   95220400 |   95220400 |   95220400 |   15753032 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   16136950 |   95220400 |   95220400 |   95220400 |   95220400 |   92466574 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400 |   95220400
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      86.8% |     100.0% |     100.0% |     100.0% |     100.0% |      16.5% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      16.9% |     100.0% |     100.0% |     100.0% |     100.0% |      97.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    5474069 |          0 |          0 |          0 |          0 |   48402319 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   48196302 |          0 |          0 |          0 |          0 |    1569462 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     125835 |          0 |          0 |          0 |          0 |     892686 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     888728 |          0 |          0 |          0 |          0 |       7882 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.25% |      0.00% |      0.00% |      0.00% |      0.00% |      1.81% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      1.81% |      0.00% |      0.00% |      0.00% |      0.00% |      0.50% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.26 |       0.00 |       0.00 |       0.00 |       0.00 |       1.62 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.62 |       0.00 |       0.00 |       0.00 |       0.00 |       0.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   11120663 |          0 |          0 |          0 |          0 |   45896274 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   45705985 |          0 |          0 |          0 |          0 |    2792962 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
