                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  261066276 |  290078974 |          0 |          0 |          0 |          0 |          0 |          0 |  264378629 |  272141030 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600 |  319079600
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.82 |       0.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.83 |       0.85 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900
  Idle time (ns)                     |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |    6776419 |    6462087 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |    8113853 |    6500355 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900 |   79769900
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       8.5% |       8.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      10.2% |       8.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   28390526 |   31775776 |          0 |          0 |          0 |          0 |          0 |          0 |   27479940 |   28783178 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    4079287 |    3717283 |          0 |          0 |          0 |          0 |          0 |          0 |    3963572 |    3897609 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     12.56% |     10.47% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     12.61% |     11.93% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
