                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  712549069 |          0 |          0 |  709952889 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  688367341 |          0 |          0 |  685873237 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200 |  352495200
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       2.02 |       0.00 |       0.00 |       2.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.95 |       0.00 |       0.00 |       1.95 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800
  Idle time (ns)                     |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |    6536879 |   88123800 |   88123800 |    7190970 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   12469139 |   88123800 |   88123800 |   11823888 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800 |   88123800
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       7.4% |     100.0% |     100.0% |       8.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      14.1% |     100.0% |     100.0% |      13.4% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   47578612 |          0 |          0 |   48592828 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   46192465 |          0 |          0 |   44911147 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     437655 |          0 |          0 |     706007 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     387434 |          0 |          0 |     382811 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.91% |      0.00% |      0.00% |      1.43% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.83% |      0.00% |      0.00% |      0.85% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
