                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   77748779 |          0 |          0 |   78041010 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   77433771 |          0 |          0 |   78148763 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400 |   63728400
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.22 |       0.00 |       0.00 |       1.22 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.22 |       0.00 |       0.00 |       1.23 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100
  Idle time (ns)                     |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |    2167145 |   15932100 |   15932100 |    2090402 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |    2316228 |   15932100 |   15932100 |    1908959 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100 |   15932100
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      13.6% |     100.0% |     100.0% |      13.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      14.5% |     100.0% |     100.0% |      12.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    3919986 |          0 |          0 |    3914686 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    3866216 |          0 |          0 |    3926692 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      24091 |          0 |          0 |      25346 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      18891 |          0 |          0 |      25376 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.61% |      0.00% |      0.00% |      0.64% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.49% |      0.00% |      0.00% |      0.64% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
