                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   36523347 |          0 |          0 |          0 |          0 |  311757768 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  226516492 |          0 |          0 |          0 |          0 |   93936721 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200 |  234543200
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       1.33 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.97 |       0.00 |       0.00 |       0.00 |       0.00 |       0.40 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800
  Idle time (ns)                     |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   54109767 |   58635800 |   58635800 |   58635800 |   58635800 |    7296780 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   21992135 |   58635800 |   58635800 |   58635800 |   58635800 |   43541529 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800 |   58635800
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      92.3% |     100.0% |     100.0% |     100.0% |     100.0% |      12.4% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      37.5% |     100.0% |     100.0% |     100.0% |     100.0% |      74.3% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    1520280 |          0 |          0 |          0 |          0 |    9545656 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    6592481 |          0 |          0 |          0 |          0 |    2809127 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      57178 |          0 |          0 |          0 |          0 |    1970522 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    1111180 |          0 |          0 |          0 |          0 |     383521 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      3.62% |      0.00% |      0.00% |      0.00% |      0.00% |     17.11% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     14.42% |      0.00% |      0.00% |      0.00% |      0.00% |     12.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
