                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  980218018 |          0 |          0 |          0 |          0 |  119070374 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  123818472 |          0 |          0 |          0 |          0 |  124002305 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800 |  759440800
  IPC                                |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.29 |       0.00 |       0.00 |       0.00 |       0.00 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200
  Idle time (ns)                     |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |     733287 |  189860200 |  189860200 |  189860200 |  189860200 |  152759318 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  152667890 |  189860200 |  189860200 |  189860200 |  189860200 |  152696941 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200 |  189860200
  Idle time (%)                      |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |       0.4% |     100.0% |     100.0% |     100.0% |     100.0% |      80.5% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      80.4% |     100.0% |     100.0% |     100.0% |     100.0% |      80.4% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  154823166 |          0 |          0 |          0 |          0 |   11735031 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   12199689 |          0 |          0 |          0 |          0 |   12168456 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    8948274 |          0 |          0 |          0 |          0 |    1253913 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    1241754 |          0 |          0 |          0 |          0 |    1237944 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      5.46% |      0.00% |      0.00% |      0.00% |      0.00% |      9.65% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      9.24% |      0.00% |      0.00% |      0.00% |      0.00% |      9.23% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
