                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
  Instructions                       |  122375746 |          0 |          0 |          0 |          0 |          0 |          0 |  108134560 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |  109323299 |          0 |          0 |          0 |          0 |          0 |          0 |  115315398
  Cycles                             |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000 |   94488000
  IPC                                |       1.30 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.22
  Time (ns)                          |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000
  Idle time (ns)                     |    2981200 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |    5158885 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |    4967839 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |   23622000 |    2400916
  Idle time (%)                      |      12.6% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      21.8% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      21.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |      10.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   12090965 |          0 |          0 |          0 |          0 |          0 |          0 |    9686362 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    9963665 |          0 |          0 |          0 |          0 |          0 |          0 |   10876277
  num incorrect                      |     812919 |          0 |          0 |          0 |          0 |          0 |          0 |     693434 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     694285 |          0 |          0 |          0 |          0 |          0 |          0 |     937882
  misprediction rate                 |      6.30% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.68% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      6.51% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      7.94%
  mpki                               |       6.64 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       6.41 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       6.35 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       8.13
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
